,name,position_firm,sex,age,contact_details,email_add,vc_stakeholders,industry_cluster,reg_businessname,business_addr,form_interprise,issued_by_business_reg,issued_by_product_reg,issued_by_cert_reg,issued_by_lic_op,issued_by_iso_cert,issued_by_gapgmp_cert,issued_by_organic,issued_by_halal,issued_by_other_cert,type_enterprise,store_capacity_organic,store_capacity_synthetic,potential_organic,potential_synthetic,other_info_organic,other_info_synthetic,store_capacity_pesticides,store_capacity_herbicides,potential_pesticides,potential_herbicides,other_info_pesticides,other_info_herbicides,store_capacity_vermicast_compost,potential_vermicast_compost,other_info_vermicast_compost,store_capacity_seedlings,potential_seedlings,other_info_seedlings,store_capacity_others_specific_products,potential_others_specific_products,other_info_others_specific_products,area_capacity_drying,potential_exp_drying,other_info_drying,area_capacity_storage_hauling,potential_exp_storage_hauling,other_info_storage_hauling,area_capacity_storage,potential_exp_storage,other_info_storage,current_capacity_semi_processing,potential_exp_semi_processing,other_info_semi_processing,current_capacity_final_product,potential_exp_final_product,other_info_final_product,volume_consolidation,potential_consolidation,other_info_consolidation,production_pack_label,potential_pack_label,other_info_pack_label,loan_portfo_micro_financing,potential_micro_financing,other_info_micro_financing,loan_portfo_insurance,potential_insurance,other_info_insurance,prodsales_product_service,prodsales_sales_vol,prodsales_unit_selling,prodsales_unit_measurement,prodsales_payment_terms,raw_materials,volume_supply,quality_requirement,unit_measurement_raw,distrib_point_local_cust,sales_vol_local_cust,payment_terms_local_cust,inhouse_num_workersmale,inhouse_num_workersfemale,inhouse_memb_ip_group,inhouse_ave_workdays,inhouse_ave_salary,sub_cont_num_workersmale,sub_cont_num_workersfemale,sub_cont_memb_ip_group,sub_cont_ave_workdays,sub_cont_ave_salary,piece_rate_num_workersmale,piece_rate_num_workersfemale,piece_rate_memb_ip_group,piece_rate_ave_workdays,piece_rate_ave_salary,form_interprise2,pricing,quality_raw,quality_final_prod,other_specifyc3,existing_comm,prov_supp_assis,business_prodc3,member_livelihood,what_cluster_industry
73,Rizalynne Blossom Laguitan Caber ,Owner,Female,43.0,9125780025.,NONE,MSME,Coconut,Cabers Food Services,Brgy. Tumagingting Laoang Northern Samar,Single/Sole,DTI registered ,,,,,,,,,Micro (3M below),,,,,,,,,,,,,,,,,,,,,,50% OF THE AREA/3X4,Y,,N/A,N/A,N/A,50% OF THE AREA/3X4,Y,N/A,100 PCS OF COCONUTS,Y,N/A,200 BOXES OF BUKO PIE MEDIUM SIZE,Y,N/A,200 BOXES OF BUKO PIE MEDIUM SIZE,Y,N/A,Plastic Cellophane Without Label,Y,N/A,Own fund for capital,Y,N/A,N/A,Y,N/A,Buko Pie,200 PCS BUKO PIE MEDIUM SIZE,150 PHP  ,per pc,COD,Coconut,50 pcs of coconuts,Organic,Cash,Northern Samar,300 pcs buko pie,COD,2.0,1.0,,2 days,45000/mo,,,,,,,,,,,No,No,No,No,,No,No,Yes,,"Funds For Capital,Equipments And Facilities,Seedlings And Fertilizers,Training For Making Other Products"
74,Rosalyn Lucban Lagremas,Owner,Female,28.0,9122495804.,roselagremas@gmail.com,MSME,Pili,None,Brgy. Baybay Laoang Northern Samar,Single/Sole,DTI registered ,,,,,,,,,Micro (3M below),1 Sack/Month,,2 Sakcs/Month,,,,,,,,,,,,,,,,,,,10% OF THE AREA 4X5,Y,,N/A,N/A,N/A,10% OF THE AREA 4X5,Y,N/A,5-6KG OF PILI (UNOD),Y,N/A,350 PCS OF PILI CANDY,Y,N/A,350 PCS OF PILI CANDY,Y,N/A,Plastic Cellophane Without Label,Y,N/A,Own fund for capital,Y,N/A,N/A,Y,N/A,Pili Candy,350 PCS ,5 PHP/EACH,per pc,COD,Pili (Dried),6kgs,Organic,Cash,Municipality Of Laoang,350 pcs  of pili candy,COD,,2.0,,7 days/mo,8500 php/mo,,,,,,,,,,,Yes,Yes,Yes,No,,No,No,Yes,,"Funds For Capital,Equipments And Facilities,Seedlings And Fertilizers,Training For Making Other Products"
75,Rosemarei  S. Dulay,Manager,Female,48.0,09276860574,,MSME,Coconut,,"Brgy. Tumaginting, Laoang, Northern Samar",Single/Sole,No DTI Registration,,,,,,,,,Micro (3M below),,,,,,,,,,,,,,,,,,,,,,15 percent,Y,,N/A,N/A,N/A,5 percent ,Y,N/A,650 pieces of coconut,Y,N/A,1300 bukos juice,Y,N/A,650 pieces of coconut,Y,N/A,1300 bukos juice,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Buko juice,1300 bukos juice,PhP18,per piece,COD,Coconut,650 pieces of coconut,Color,Cash,Laoang,1300 bukos juice,COD,1.0,2.0,,26.0,8000.0,,,,,,,,,,,"Yes, sealed cap",No,No,No,,No,No,No,,Provision of financial support for storage improvement
76,Sheila Camarines Pinea,Owner,Female,56.0,09618597211,,MSME,Cacao,,"Laoang, Northern Samar",Single/Sole,No DTI Registration,,,,,,,,,Micro (3M below),,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,2 kilos of cacao,Y,N/A,1000 pcs of tablea,Y,N/A,2 kilos of cacao,Y,N/A,1000 pcs of tablea,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Tablea,1000 pcs of tablea,PhP5,per piece,COD,Cacao beans,2 kilos of cacao,Color,Cash,Laoang,1000 pcs of tablea,COD,1.0,1.0,,1.0,N/A,,,,,,,,,,,No,No,No,No,,No,No,Yes,,"Provision of financial support and equipment, liquified petroleum and stove"
77,Veneranda Lim Irinco,Owner,Female,68.0,09686907538,,MSME,Cacao,,"Brgy. Rawis, Laoang, Northern Samar",Single/Sole,No DTI Registration,,,,,,,,,Micro (3M below),,,,,,,,,,,,,,,,,,,,,,10 percent,Y,,N/A,N/A,N/A,N/A,N/A,N/A,3 kg,Y,N/A,2 kg of tablea,Y,N/A,3 kg,Y,N/A,2 kg of tablea,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Tablea,2 kg of tablea,PhP120,per 25 pieces,COD,Cacao beans,3 kg,Color,Cash,Laoang,2 kg of tablea,COD,1.0,2.0,,7.0,4800.0,,,,,,,,,,,No,No,No,No,,No,No,Yes,,Provision of farm inputs
78,Wenefreda Morales Tan,Manager,Female,66.0,09154561834,,MSME,Coconut,,"Simontan Street, Brgy. Baybay, Laoang, Northern Samar",Single/Sole,DTI registered ,,,,,,,,,Micro (3M below),,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,160 kg of coconut ,Y,N/A,800 suman,Y,N/A,160 kg of coconut ,Y,N/A,800 suman,Y,N/A,ASA,Y,N/A,N/A,N/A,N/A,Suman,800 suman,PhP15,per piece,COD,Coconut,160 kg of coconut ,Color,Cash,Northern Samar,800 suman,COD,,1.0,,20.0,5000.0,,,,,,,,,,,No,No,No,No,,No,No,Yes,,Financial Assistance
79,Wenefreda Vallegas Ramos,Owner,Female,46.0,9357122751.,rwenefreda@gmail.com,MSME,Coconut,Weng Food Products,Bliss Site Guilaoangi Laoang Northern Samar,Single/Sole,DTI registered ,,,,,,,,,Micro (3M below),,,,,,,,,,,,,,,,,,,,,,50% OF THE AREA MAKABINGWIT,Y,,N/A,N/A,N/A,50% OF THE AREA MAKABINGWIT,Y,N/A,80 PCS OF COCONUTS,Y,N/A,1400 PCS OF COCONUT CANDY,Y,N/A,1400 PCS OF COCONUT CANDY,Y,N/A,Plastic Cellophane Without Label,Y,N/A,Own fund for capital,Y,N/A,N/A,Y,N/A,Coconut Macaroons,1400 PCS OF MACAROONS,12 PCS FOR 25PHP,per pc,COD,Coconut,80 pcs of coconuts,Organic,Cash,Northern Samar,1000 pcs of coco macaroons,COD,1.0,1.0,,12 days/mo,2925 php/mo,,,,,,,,,,,No,No,No,No,,No,No,Yes,,"Funds For Capital,Equipments And Facilities,Seedlings And Fertilizers,Training For Making Other Products"
80,Zenaida Acedero Paloma,Owner,Female,58.0,09484707777,,MSME,Coconut,,"Laoang, Northern Samar",Single/Sole,No DTI Registration,,,,,,,,,Micro (3M below),,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,2.5 kg,Y,N/A,50 pieces of coconut candy,Y,N/A,2.5 kg,Y,N/A,50 pieces of coconut candy,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Coconut candy,50 pieces of coconut candy,PhP5,per piece,COD,Coconut,2.5 kg,Color,Cash,Laoang,50 pieces of coconut candy,COD,,1.0,,1.0,N/A,,,,,,,,,,,No,No,No,No,,No,No,No,,Provision of financial support and equipment
81,john fern,owner,Male,29,09485810355,saop@gmail.com,MSME,,cocojohn,agusan del norte,Single/Sole,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,,None,None,None,None,
82,asxasdasd,owner,Male,29,09126354305,jay@gmail.com,MSME,,asdkjas,agusan del sur,Single/Sole,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,,None,None,None,None,
83,sandra,owner,Male,30,09872615263,sandra@gmail.com,MSME,,asdasd,agusan del norte,Single/Sole,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,,None,None,None,None,
84,jason mraz,owner,Male,31,09126354305,jhason@gmail.com,MSME,,icecream,sarangani,Single/Sole,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,,None,None,None,None,
85,jaconbz,owner,Male,39,09381735162,kol@gmail.com,MSME,cacao,cocojohn,agusan del norte,Single/Sole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""",,,,,,,,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,,None,None,None,None,
